

[info]
SOLAR F.V. EUITI

Fecha;Hora;G_H1((47596));G_M1((47596));G_M2((47596));G_M3((47596));T_U0((47596));T_M3((47596));T_M1((47596));T_M2((47596));W_V0((47596));F_L0((47596));Pac(1(47596));Pac(2(47596));Pac(5(47596));Pac(6(47596));Pac(7(47596));Pac(10(47596));Pac(3(47596));Pac(4(47596));Pac(8(47596));Pac(9(47596));Pac(11(47596));Pac(12(47596))
;;Wh/m�;Wh/m�;Wh/m�;Wh/m�;캜;캜;캜;캜;m/s;%;W;W;W;W;W;W;W;W;W;W;W;W
;;Suma;Suma;Suma;Suma;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma
[start]
02.07.2013;10:30:00;12,25;149,75;138,75;143,75;28,00;39,10;39,90;39,00;-;43,70;599,00;569,00;524,00;593,00;498,00;552,00;676,00;577,00;631,00;336,00;624,00;1414,00
02.07.2013;10:45:00;11,25;161,25;149,75;154,75;28,30;41,00;41,90;41,00;-;42,30;643,00;608,00;565,00;636,00;534,00;597,00;722,00;621,00;681,00;363,00;667,00;1519,00
02.07.2013;11:00:00;12,75;171,75;159,25;164,50;28,20;41,50;42,40;41,50;-;42,30;679,00;642,00;595,00;673,00;562,00;637,00;761,00;652,00;725,00;388,00;706,00;1620,00
02.07.2013;11:15:00;12,50;184,25;171,25;177,00;28,90;44,60;45,20;44,40;-;41,10;720,00;678,00;633,00;715,00;600,00;680,00;810,00;692,00;774,00;414,00;746,00;1707,00
02.07.2013;11:30:00;11,25;195,00;181,00;187,25;29,30;46,60;46,90;47,00;-;40,30;762,00;709,00;665,00;755,00;630,00;716,00;849,00;729,00;815,00;437,00;780,00;1777,00
02.07.2013;11:45:00;13,25;202,50;189,00;195,00;29,60;47,80;48,70;48,50;-;39,40;791,00;730,00;690,00;786,00;651,00;744,00;880,00;754,00;845,00;453,00;805,00;1826,00
02.07.2013;12:00:00;12,00;211,50;198,25;204,25;29,50;48,00;49,40;49,10;-;39,50;822,00;755,00;711,00;810,00;678,00;777,00;911,00;781,00;877,00;472,00;833,00;1879,00
02.07.2013;12:15:00;10,50;219,75;206,75;212,75;29,90;49,50;50,70;49,70;-;38,50;851,00;778,00;742,00;843,00;704,00;808,00;941,00;811,00;912,00;491,00;857,00;1942,00
02.07.2013;12:30:00;11,50;226,50;214,50;220,00;30,30;50,70;52,20;51,80;-;37,30;878,00;793,00;762,00;871,00;724,00;830,00;965,00;833,00;935,00;503,00;874,00;1979,00
02.07.2013;12:45:00;13,00;232,00;220,50;226,25;30,90;51,70;54,00;53,40;-;35,80;895,00;807,00;774,00;887,00;739,00;846,00;981,00;847,00;950,00;513,00;889,00;2000,00
02.07.2013;13:00:00;12,75;235,50;225,50;230,75;31,30;52,90;54,90;54,20;-;35,30;913,00;814,00;791,00;899,00;751,00;858,00;993,00;861,00;964,00;520,00;897,00;2018,00
02.07.2013;13:15:00;12,25;237,75;228,25;234,25;32,00;53,80;55,30;54,30;-;33,90;923,00;821,00;795,00;916,00;757,00;864,00;1002,00;872,00;973,00;524,00;902,00;2028,00
02.07.2013;13:30:00;13,50;240,50;232,75;238,00;32,10;53,40;53,60;52,70;-;32,20;940,00;833,00;793,00;932,00;730,00;877,00;1013,00;843,00;984,00;532,00;916,00;2050,00
02.07.2013;13:45:00;10,75;241,00;234,25;240,00;32,90;55,30;56,80;56,30;-;30,30;934,00;824,00;801,00;932,00;617,00;873,00;1004,00;884,00;978,00;529,00;905,00;2024,00
02.07.2013;14:00:00;12,00;239,25;234,25;239,50;33,50;54,90;57,40;55,50;-;29,20;919,00;817,00;804,00;927,00;757,00;865,00;996,00;880,00;968,00;524,00;894,00;2002,00
